iris_id,event_timestamp,sepal_length,sepal_width,petal_length,petal_width,species
1,2025-06-20 17:08:16.109720,5.1,3.5,1.4,0.2,setosa
2,2025-06-20 17:08:16.109720,4.9,3.0,1.4,0.2,setosa
3,2025-06-20 17:08:16.109720,4.7,3.2,1.3,0.2,setosa
4,2025-06-20 17:08:16.109720,4.6,3.1,1.5,0.2,setosa
5,2025-06-20 17:08:16.109720,5.0,3.6,1.4,0.2,setosa
6,2025-06-20 17:08:16.109720,5.4,3.9,1.7,0.4,setosa
7,2025-06-20 17:08:16.109720,4.6,3.4,1.4,0.3,setosa
8,2025-06-20 17:08:16.109720,5.0,3.4,1.5,0.2,setosa
9,2025-06-20 17:08:16.109720,4.4,2.9,1.4,0.2,setosa
10,2025-06-20 17:08:16.109720,4.9,3.1,1.5,0.1,setosa
11,2025-06-20 17:08:16.109720,5.4,3.7,1.5,0.2,setosa
12,2025-06-20 17:08:16.109720,4.8,3.4,1.6,0.2,setosa
13,2025-06-20 17:08:16.109720,4.8,3.0,1.4,0.1,setosa
14,2025-06-20 17:08:16.109720,4.3,3.0,1.1,0.1,setosa
15,2025-06-20 17:08:16.109720,5.8,4.0,1.2,0.2,setosa
16,2025-06-20 17:08:16.109720,5.7,4.4,1.5,0.4,setosa
17,2025-06-20 17:08:16.109720,5.4,3.9,1.3,0.4,setosa
18,2025-06-20 17:08:16.109720,5.1,3.5,1.4,0.3,setosa
19,2025-06-20 17:08:16.109720,5.7,3.8,1.7,0.3,setosa
20,2025-06-20 17:08:16.109720,5.1,3.8,1.5,0.3,setosa
21,2025-06-20 17:08:16.109720,5.4,3.4,1.7,0.2,setosa
22,2025-06-20 17:08:16.109720,5.1,3.7,1.5,0.4,setosa
23,2025-06-20 17:08:16.109720,4.6,3.6,1.0,0.2,setosa
24,2025-06-20 17:08:16.109720,5.1,3.3,1.7,0.5,setosa
25,2025-06-20 17:08:16.109720,4.8,3.4,1.9,0.2,setosa
26,2025-06-20 17:08:16.109720,5.0,3.0,1.6,0.2,setosa
27,2025-06-20 17:08:16.109720,5.0,3.4,1.6,0.4,setosa
28,2025-06-20 17:08:16.109720,5.2,3.5,1.5,0.2,setosa
29,2025-06-20 17:08:16.109720,5.2,3.4,1.4,0.2,setosa
30,2025-06-20 17:08:16.109720,4.7,3.2,1.6,0.2,setosa
31,2025-06-20 17:08:16.109720,4.8,3.1,1.6,0.2,setosa
32,2025-06-20 17:08:16.109720,5.4,3.4,1.5,0.4,setosa
33,2025-06-20 17:08:16.109720,5.2,4.1,1.5,0.1,setosa
34,2025-06-20 17:08:16.109720,5.5,4.2,1.4,0.2,setosa
35,2025-06-20 17:08:16.109720,4.9,3.1,1.5,0.1,setosa
36,2025-06-20 17:08:16.109720,5.0,3.2,1.2,0.2,setosa
37,2025-06-20 17:08:16.109720,5.5,3.5,1.3,0.2,setosa
38,2025-06-20 17:08:16.109720,4.9,3.1,1.5,0.1,setosa
39,2025-06-20 17:08:16.109720,4.4,3.0,1.3,0.2,setosa
40,2025-06-20 17:08:16.109720,5.1,3.4,1.5,0.2,setosa
41,2025-06-20 17:08:16.109720,5.0,3.5,1.3,0.3,setosa
42,2025-06-20 17:08:16.109720,4.5,2.3,1.3,0.3,setosa
43,2025-06-20 17:08:16.109720,4.4,3.2,1.3,0.2,setosa
44,2025-06-20 17:08:16.109720,5.0,3.5,1.6,0.6,setosa
45,2025-06-20 17:08:16.109720,5.1,3.8,1.9,0.4,setosa
46,2025-06-20 17:08:16.109720,4.8,3.0,1.4,0.3,setosa
47,2025-06-20 17:08:16.109720,5.1,3.8,1.6,0.2,setosa
48,2025-06-20 17:08:16.109720,4.6,3.2,1.4,0.2,setosa
49,2025-06-20 17:08:16.109720,5.3,3.7,1.5,0.2,setosa
50,2025-06-20 17:08:16.109720,5.0,3.3,1.4,0.2,setosa
51,2025-06-20 17:08:16.109720,7.0,3.2,4.7,1.4,versicolor
52,2025-06-20 17:08:16.109720,6.4,3.2,4.5,1.5,versicolor
53,2025-06-20 17:08:16.109720,6.9,3.1,4.9,1.5,versicolor
54,2025-06-20 17:08:16.109720,5.5,2.3,4.0,1.3,versicolor
55,2025-06-20 17:08:16.109720,6.5,2.8,4.6,1.5,versicolor
56,2025-06-20 17:08:16.109720,5.7,2.8,4.5,1.3,versicolor
57,2025-06-20 17:08:16.109720,6.3,3.3,4.7,1.6,versicolor
58,2025-06-20 17:08:16.109720,4.9,2.4,3.3,1.0,versicolor
59,2025-06-20 17:08:16.109720,6.6,2.9,4.6,1.3,versicolor
60,2025-06-20 17:08:16.109720,5.2,2.7,3.9,1.4,versicolor
61,2025-06-20 17:08:16.109720,5.0,2.0,3.5,1.0,versicolor
62,2025-06-20 17:08:16.109720,5.9,3.0,4.2,1.5,versicolor
63,2025-06-20 17:08:16.109720,6.0,2.2,4.0,1.0,versicolor
64,2025-06-20 17:08:16.109720,6.1,2.9,4.7,1.4,versicolor
65,2025-06-20 17:08:16.109720,5.6,2.9,3.6,1.3,versicolor
66,2025-06-20 17:08:16.109720,6.7,3.1,4.4,1.4,versicolor
67,2025-06-20 17:08:16.109720,5.6,3.0,4.5,1.5,versicolor
68,2025-06-20 17:08:16.109720,5.8,2.7,4.1,1.0,versicolor
69,2025-06-20 17:08:16.109720,6.2,2.2,4.5,1.5,versicolor
70,2025-06-20 17:08:16.109720,5.6,2.5,3.9,1.1,versicolor
71,2025-06-20 17:08:16.109720,5.9,3.2,4.8,1.8,versicolor
72,2025-06-20 17:08:16.109720,6.1,2.8,4.0,1.3,versicolor
73,2025-06-20 17:08:16.109720,6.3,2.5,4.9,1.5,versicolor
74,2025-06-20 17:08:16.109720,6.1,2.8,4.7,1.2,versicolor
75,2025-06-20 17:08:16.109720,6.4,2.9,4.3,1.3,versicolor
76,2025-06-20 17:08:16.109720,6.6,3.0,4.4,1.4,versicolor
77,2025-06-20 17:08:16.109720,6.8,2.8,4.8,1.4,versicolor
78,2025-06-20 17:08:16.109720,6.7,3.0,5.0,1.7,versicolor
79,2025-06-20 17:08:16.109720,6.0,2.9,4.5,1.5,versicolor
80,2025-06-20 17:08:16.109720,5.7,2.6,3.5,1.0,versicolor
81,2025-06-20 17:08:16.109720,5.5,2.4,3.8,1.1,versicolor
82,2025-06-20 17:08:16.109720,5.5,2.4,3.7,1.0,versicolor
83,2025-06-20 17:08:16.109720,5.8,2.7,3.9,1.2,versicolor
84,2025-06-20 17:08:16.109720,6.0,2.7,5.1,1.6,versicolor
85,2025-06-20 17:08:16.109720,5.4,3.0,4.5,1.5,versicolor
86,2025-06-20 17:08:16.109720,6.0,3.4,4.5,1.6,versicolor
87,2025-06-20 17:08:16.109720,6.7,3.1,4.7,1.5,versicolor
88,2025-06-20 17:08:16.109720,6.3,2.3,4.4,1.3,versicolor
89,2025-06-20 17:08:16.109720,5.6,3.0,4.1,1.3,versicolor
90,2025-06-20 17:08:16.109720,5.5,2.5,4.0,1.3,versicolor
91,2025-06-20 17:08:16.109720,5.5,2.6,4.4,1.2,versicolor
92,2025-06-20 17:08:16.109720,6.1,3.0,4.6,1.4,versicolor
93,2025-06-20 17:08:16.109720,5.8,2.6,4.0,1.2,versicolor
